image_path,class_name,class_idx,source,split
/Users/kyoe/skin_ai/data/dermnet/train/Atopic Dermatitis Photos/05atopic0123068.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-Guttate-61.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-nails-30.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Acne and Rosacea Photos/perioral-dermatitis-139.jpg,여드름,2,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-202.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-penis-14.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Penis-23.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Atopic Dermatitis Photos/3IMG016.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/eczema-nummular-123.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Planus-Palm-Soles-7.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Lichen-Sclerosus-Skin-70.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/Psoriasis-nails-1.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/stasis-dermatitis-80.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Atopic Dermatitis Photos/1IMG018.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-155.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/prurigo-nodularis-30.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/eczema-fingertips-93.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/eczema-hand-164.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Acne and Rosacea Photos/rosacea-nose-31.jpg,여드름,2,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/eczema-foot-39.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/eczema-foot-74.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/psoriasis-palms-soles-97.jpg,건선,0,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Eczema Photos/eczema-impetiginized-12.jpg,아토피피부염,1,dermnet,train
/Users/kyoe/skin_ai/data/dermnet/train/Psoriasis pictures Lichen Planus and related diseases/lichen-planus-vaginal-14.jpg,건선,0,dermnet,train
