image_path,class_name,class_idx,source,split
data/ISIC 2019/BKL/ISIC_0014612_downsampled.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BCC/ISIC_0027229.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/BKL/ISIC_0030241.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BKL/ISIC_0062363.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/NV/ISIC_0013096_downsampled.jpg,멜라닌세포모반,2,isic2019,train
data/ISIC 2019/NV/ISIC_0032606.jpg,멜라닌세포모반,2,isic2019,train
data/ISIC 2019/BCC/ISIC_0062645.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/NV/ISIC_0069996.jpg,멜라닌세포모반,2,isic2019,train
data/ISIC 2019/BCC/ISIC_0060551.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/MEL/ISIC_0068303.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/SCC/ISIC_0069086.jpg,편평세포암,8,isic2019,train
data/ISIC 2019/BKL/ISIC_0068422.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/NV/ISIC_0000383_downsampled.jpg,멜라닌세포모반,2,isic2019,train
data/ISIC 2019/BKL/ISIC_0026539.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BKL/ISIC_0068263.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/AK/ISIC_0056037.jpg,광선각화증,0,isic2019,train
data/ISIC 2019/NV/ISIC_0015938_downsampled.jpg,멜라닌세포모반,2,isic2019,train
data/ISIC 2019/BCC/ISIC_0060990.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/AK/ISIC_0063287.jpg,광선각화증,0,isic2019,train
data/ISIC 2019/MEL/ISIC_0032875.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/MEL/ISIC_0067543.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/BCC/ISIC_0060622.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/NV/ISIC_0032885.jpg,멜라닌세포모반,2,isic2019,train
data/ISIC 2019/BKL/ISIC_0027320.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BCC/ISIC_0060149.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/MEL/ISIC_0025766.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/BKL/ISIC_0024909.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BKL/ISIC_0033770.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BKL/ISIC_0070917.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/MEL/ISIC_0060558.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/MEL/ISIC_0069511.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/BKL/ISIC_0032732.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BCC/ISIC_0064424.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/MEL/ISIC_0064161.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/BKL/ISIC_0055679.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BKL/ISIC_0031196.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BKL/ISIC_0014648_downsampled.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/BKL/ISIC_0025292.jpg,지루각화증,7,isic2019,train
data/ISIC 2019/MEL/ISIC_0054694.jpg,악성흑색종,6,isic2019,train
data/ISIC 2019/BCC/ISIC_0061512.jpg,기저세포암,1,isic2019,train
data/ISIC 2019/NV/ISIC_0000037_downsampled.jpg,멜라닌세포모반,2,isic2019,train
data/ISIC 2019/BCC/ISIC_0066039.jpg,기저세포암,1,isic2019,train
